Altium Designer Pick and Place Locations
B:\Applications\hardware\pca10201\trunk\production_files\400926_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       11.08.25
Time:       12:47
Revision:   38732
Variant:    Release
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"SB27","Solderbridge","TopLayer","Solderbridge","56.0000","24.2490","90","Solderbridge"
"SB26","Solderbridge","TopLayer","Solderbridge","56.0000","30.4800","90","Solderbridge"
"SB13","Solderbridge","TopLayer","Solderbridge","71.5000","15.2490","180","Solderbridge"
"R65","100k","TopLayer","RESC0603X03L_C","19.4000","25.6990","90","Resistor, ±1%, 0.05W"
"R64","100k","TopLayer","RESC0603X03L_C","18.8250","25.6990","90","Resistor, ±1%, 0.05W"
"R74","47k","TopLayer","RESC0603X03L_C","14.8250","21.6990","270","Resistor, ±1%, 0.05W"
"R23","N.C.","TopLayer","RESC0603X03L_C_NC","16.6750","25.2490","180","Not mounted"
"R34","100k","TopLayer","RESC0603X03L_C","33.6250","23.4990","180","Resistor, ±1%, 0.05W"
"R32","1M0","TopLayer","RESC0603X03L_C","32.1000","38.6490","90","Resistor, ±1%, 0.05W"
"R31","1M0","TopLayer","RESC0603X03L_C","20.3500","24.9240","180","Resistor, ±1%, 0.05W"
"R24","1M0","TopLayer","RESC0603X03L_C","19.0750","27.2740","180","Resistor, ±1%, 0.05W"
"R33","120R","TopLayer","RESC0603X03L_C","30.7500","21.4990","270","Resistor, ±1%, 0.05W"
"R18","1M0","TopLayer","RESC0603X03L_C","48.8000","16.2990","90","Resistor, ±1%, 0.05W"
"R14","1M0","TopLayer","RESC0603X03L_C","63.4000","42.8740","0","Resistor, ±1%, 0.05W"
"R73","1M0","TopLayer","RESC0603X03L_C","55.7750","22.7990","90","Resistor, ±1%, 0.05W"
"R72","1M0","TopLayer","RESC0603X03L_C","56.6996","22.7990","270","Resistor, ±1%, 0.05W"
"R62","1M0","TopLayer","RESC0603X03L_C","92.9500","19.6990","180","Resistor, ±1%, 0.05W"
"Q3","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","28.9750","22.7240","0","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW, -55°C ~ 150°C"
"Q6","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","34.7750","38.7990","0","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW, -55°C ~ 150°C"
"C52_S10","100nF","TopLayer","CAPC0603X03L_C","59.5000","25.4740","0","Capacitor, X5R, ±10%, 100nF, 16V"
"C52_S6","100nF","TopLayer","CAPC0603X03L_C","102.9226","25.3331","180","Capacitor, X5R, ±10%, 100nF, 16V"
"C52_S5","100nF","TopLayer","CAPC0603X03L_C","103.8976","38.3580","0","Capacitor, X5R, ±10%, 100nF, 16V"
"C52_S4","100nF","TopLayer","CAPC0603X03L_C","27.7000","38.5490","90","Capacitor, X5R, ±10%, 100nF, 16V"
"C52_S3","100nF","TopLayer","CAPC0603X03L_C","15.5500","25.2490","180","Capacitor, X5R, ±10%, 100nF, 16V"
"C41","10nF","TopLayer","CAPC0603X03L_C","33.6250","24.0990","0","Capacitor, X7R, ±10%, 10nF, 10V"
"LED5","L0603G","TopLayer","LED_0603_G","29.0000","21.4990","0","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"J4","TC2050-IDC","TopLayer","TC2050-IDC-NLFP","35.5000","27.4990","90","CBL PLUG-OF-NAILS 10-PIN"
"R78","150k","TopLayer","RESC0603X03L_C","5.0000","18.9990","270","Resistor, ±1%, 0.05W"
"R81","100k","TopLayer","RESC0603X03L_C","5.0000","15.7340","90","Resistor, ±1%, 0.05W"
"R80","1M0","TopLayer","RESC0603X03L_C","1.4500","15.7990","90","Resistor, ±1%, 0.05W"
"R79","10k","TopLayer","RESC0603X03L_C","1.4500","14.6990","90","Resistor, ±1%, 0.05W"
"R77","10k","TopLayer","RESC0603X03L_C","1.4500","17.9490","270","Resistor, ±1%, 0.05W"
"R76","100k","TopLayer","RESC0603X03L_C","1.4500","19.0490","90","Resistor, ±1%, 0.05W"
"C58","4.7µF","TopLayer","CAPC1608X06L","4.7950","12.2423","180","Capacitor, Ceramic, X5R, ±10%, 10V"
"R21","2R2","TopLayer","RESC0603X03L_C","18.6250","33.8490","270","Resistor, ±1%, 0.05W"
"C31","100nF","TopLayer","CAPC0603X03L_C","27.0999","23.5830","90","Capacitor, X5R, ±10%, 100nF, 16V"
"C32","100nF","TopLayer","CAPC0603X03L_C","29.7750","28.7830","180","Capacitor, X5R, ±10%, 100nF, 16V"
"C25","100nF","TopLayer","CAPC0603X03L_C","20.3500","28.3330","0","Capacitor, X5R, ±10%, 100nF, 16V"
"C38","4.7µF","TopLayer","CAPC1608X06L","20.6250","34.5130","90","Capacitor, Ceramic, X5R, ±10%, 10V"
"C35","1.0µF","TopLayer","CAPC1005X04L","22.0750","34.2830","270","Capacitor, Ceramic, X5R, ±10%, 10V"
"C36","1.0µF","TopLayer","CAPC1005X04L","24.1750","34.2630","0","Capacitor, Ceramic, X5R, ±10%, 10V"
"C29","1.0µF","TopLayer","CAPC1005X04L","28.4500","33.4830","0","Capacitor, Ceramic, X5R, ±10%, 10V"
"X1","32MHz","TopLayer","BT-XTAL_2016","32.0500","32.3124","90","XTAL SMD 2016, 32MHz, Cl=8pF, Tot: ±40ppm"
"C39","100nF","TopLayer","CAPC0603X03L_C","26.4440","32.7580","0","Capacitor, X5R, ±10%, 100nF, 16V"
"C30","2.2nF","TopLayer","CAPC0603X03L_C","30.0500","30.0330","270","Capacitor, X7R, ±10%, 10V"
"C24","100nF","TopLayer","CAPC0603X03L_C","20.6250","30.7080","90","Capacitor, X5R, ±10%, 100nF, 16V"
"C40","1.0µF","TopLayer","CAPC1005X04L","23.8250","33.3880","0","Capacitor, Ceramic, X5R, ±10%, 10V"
"C28","1.0µF","TopLayer","CAPC1005X04L","26.4750","33.4830","0","Capacitor, Ceramic, X5R, ±10%, 10V"
"C37","4.7µF","TopLayer","CAPC1608X06L","19.5000","34.5130","90","Capacitor, Ceramic, X5R, ±10%, 10V"
"C26","100nF","TopLayer","CAPC0603X03L_C","20.3500","25.9580","180","Capacitor, X5R, ±10%, 100nF, 16V"
"C27","100nF","TopLayer","CAPC0603X03L_C","23.8266","23.5830","90","Capacitor, X5R, ±10%, 100nF, 16V"
"C34","100nF","TopLayer","CAPC0603X03L_C","29.5750","32.5743","0","Capacitor, X5R, ±10%, 100nF, 16V"
"R11","150R","TopLayer","RESC0603X03L_C","29.7750","27.5490","0","Resistor, ±1%, 0.05W"
"R15","150R","TopLayer","RESC0603X03L_C","24.5000","21.5830","270","Resistor, ±1%, 0.05W"
"R12","150R","TopLayer","RESC0603X03L_C","26.8500","21.5830","270","Resistor, ±1%, 0.05W"
"R16","150R","TopLayer","RESC0603X03L_C","25.1751","21.5830","270","Resistor, ±1%, 0.05W"
"R28","150R","TopLayer","RESC0603X03L_C","23.6500","35.4080","90","Resistor, ±1%, 0.05W"
"R29","150R","TopLayer","RESC0603X03L_C","24.2500","35.4080","90","Resistor, ±1%, 0.05W"
"R30","150R","TopLayer","RESC0603X03L_C","25.4500","35.4080","90","Resistor, ±1%, 0.05W"
"R25","150R","TopLayer","RESC0603X03L_C","30.3750","24.8580","0","Resistor, ±1%, 0.05W"
"R26","150R","TopLayer","RESC0603X03L_C","30.3750","24.2580","0","Resistor, ±1%, 0.05W"
"R27","150R","TopLayer","RESC0603X03L_C","30.3750","23.3580","0","Resistor, ±1%, 0.05W"
"R67","1M0","TopLayer","RESC0603X03L_C","33.6750","38.6990","270","Resistor, ±1%, 0.05W"
"R19","150R","TopLayer","RESC0603X03L_C","18.9750","29.8580","180","Resistor, ±1%, 0.05W"
"R20","150R","TopLayer","RESC0603X03L_C","18.9750","29.2580","180","Resistor, ±1%, 0.05W"
"R22","150R","TopLayer","RESC0603X03L_C","19.0750","26.6830","180","Resistor, ±1%, 0.05W"
"C33","100nF","TopLayer","CAPC0603X03L_C","29.2250","31.2330","90","Capacitor, X5R, ±10%, 100nF, 16V"
"R70","5k1","TopLayer","RESC0603X03L_C","10.4000","29.9990","180","Resistor, ±1%, 0.05W"
"J6","USB-C 2.0","TopLayer","SD-80259-001","6.6000","31.7040","270","USB-C Receptacle, 16 Pin, USB 2.0"
"C51","100nF","TopLayer","CAPC0603X03L_C","10.4250","27.0490","270","Capacitor, X5R, ±10%, 100nF, 16V"
"C50","10nF","TopLayer","CAPC0603X03L_C","10.4250","28.1490","90","Capacitor, X7R, ±10%, 10nF, 10V"
"R71","5k1","TopLayer","RESC0603X03L_C","10.4000","33.4990","180","Resistor, ±1%, 0.05W"
"FB2","120R/0.9A","TopLayer","INDC0603X03L_C","11.3001","27.8989","270","Ferrite Bead, 120 Ohm @ 100MHz, 900mA, 160 mOhm Max"
"R35","100k","TopLayer","RESC0603X03L_C","85.6528","34.6700","180","Resistor, ±1%, 0.05W"
"R2","1k","TopLayer","RESC0603X03L_C","115.2000","26.6990","270","Resistor, ±1%, 0.05W"
"C2","1.0µF","TopLayer","CAPC0603X03L_C","111.5500","32.4240","90","Capacitor, X5R, ±20%, 10V"
"C4","100nF","TopLayer","CAPC0603X03L_C","125.4000","32.4990","90","Capacitor, X5R, ±10%, 100nF, 16V"
"C10","100nF","TopLayer","CAPC0603X03L_C","115.8000","26.6990","90","Capacitor, X5R, ±10%, 100nF, 16V"
"C1","1.0µF","TopLayer","CAPC0603X03L_C","114.1904","24.0990","90","Capacitor, X5R, ±20%, 10V"
"C3","10µF","TopLayer","CAPC1608X06L","115.2000","20.6990","270","Capacitor, Ceramic, 10µF 10V X6S 0603,±20%"
"Q1","DMC2400UV","TopLayer","SOTFL50P162X60-6N","110.2650","15.1740","180","Dual N & P Ch MOFET, 1.03A/0.7A, 480mOhm, 450mW"
